 Dual grid iteration #           0
 phi before 1 Gauss-Seidel on mesh with M =           16
 i, j, phi
          15          13  0.19642373959677548     
          16          13   6.8974844820735848E-002
          17          13   6.8974844820735848E-002
           0          14  -6.8974844820735945E-002
           1          14  -6.8974844820735945E-002
           2          14 -0.19642373959677575     
           3          14 -0.29396890060484010     
           4          14 -0.34675996133053727     
           5          14 -0.34675996133053727     
           6          14 -0.29396890060483999     
           7          14 -0.19642373959677575     
           8          14  -6.8974844820735820E-002
           9          14   6.8974844820735820E-002
          10          14  0.19642373959677575     
          11          14  0.29396890060483999     
          12          14  0.34675996133053727     
          13          14  0.34675996133053727     
          14          14  0.29396890060484010     
          15          14  0.19642373959677575     
          16          14   6.8974844820735945E-002
          17          14   6.8974844820735945E-002
           0          15   6.8974844820735903E-002
           1          15   6.8974844820735903E-002
           2          15  0.19642373959677564     
           3          15  0.29396890060483993     
           4          15  0.34675996133053705     
           5          15  0.34675996133053705     
           6          15  0.29396890060483982     
           7          15  0.19642373959677564     
           8          15   6.8974844820735778E-002
           9          15  -6.8974844820735778E-002
          10          15 -0.19642373959677564     
          11          15 -0.29396890060483982     
          12          15 -0.34675996133053705     
          13          15 -0.34675996133053705     
          14          15 -0.29396890060483993     
          15          15 -0.19642373959677564     
          16          15  -6.8974844820735903E-002
          17          15  -6.8974844820735903E-002
           0          16   6.8974844820735959E-002
           1          16   6.8974844820735959E-002
           2          16  0.19642373959677578     
           3          16  0.29396890060484016     
           4          16  0.34675996133053733     
           5          16  0.34675996133053733     
           6          16  0.29396890060484004     
           7          16  0.19642373959677578     
           8          16   6.8974844820735834E-002
           9          16  -6.8974844820735834E-002
          10          16 -0.19642373959677578     
          11          16 -0.29396890060484004     
          12          16 -0.34675996133053733     
          13          16 -0.34675996133053733     
          14          16 -0.29396890060484016     
          15          16 -0.19642373959677578     
          16          16  -6.8974844820735959E-002
          17          16  -6.8974844820735959E-002
           0          17   6.8974844820735959E-002
           1          17   6.8974844820735959E-002
